Section 7 - Contingency Planning,,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference,
,,,Yes. ,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS 
HPH CPG: 18, 19 
HICP: N/A",
,,,No. ,"Your practice may not be able to safeguard its information systems, applications, and ePHI if it does not have policies and procedures designed to help prevent, detect, and respond to security incidents.",0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS 
HPH CPG: 18, 19 
HICP: N/A",
,,,I don't know.,"Your practice may not be able to safeguard its information systems, applications, and ePHI if it does not have policies and procedures designed to help prevent, detect, and respond to security incidents.",0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS 
HPH CPG: 18, 19 
HICP: N/A",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS 
HPH CPG: 18, 19 
HICP: N/A",
,Notes,,,,,,,,
9,"How does your practice prevent, detect, and respond to security incidents? ",,,,,,,,
,,,We have a security incident response plan documented in our policies and procedures. ,Consider testing the security incident response plan periodically using a documented process. The incident plan should cover broad categories of incidents to prepare for. Testing the incident plan is an effective means of preparation and training. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ,0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,,,As part of training exercises we periodically test our security incident response plan. ,Testing your incident response plan is an effective means of preparation and training. The incident plan should cover a range of categories to prepare for and should be documented in your policies and procedures. Also consider tracking security incident responses and outcomes and communicating them to the appropriate workforce members for security incident awareness and mitigation. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ,0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,,,We track all security incident responses and outcomes and report them to our security officer. We then ensure proper mitigation procedures are followed in a timely manner.,Consider documenting your incident response plan in your policies and procedures and testing the plan periodically using a documented process. The incident plan should cover broad categories of incidents to prepare for. Testing the incident plan is an effective means of preparation and training. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ,0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,,,We communicate recent security incident responses and outcomes to our workforce for additional security awareness and prevention. ,Consider documenting your incident response plan in your policies and procedures and testing the plan periodically using a documented process. The incident plan should cover broad categories of incidents to prepare for. Testing the incident plan is an effective means of preparation and training. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ,0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
