Section 6 - Security and Business Associates,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,"We determine degree of access based on the amount of ePHI accessed and the types of devices or mechanisms used for access. We control, enforce, and monitor third-party access using access management policies and procedures. ","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Implement access management procedures to track and monitor user access to computers and programs. Frequently viewing audit, system, and other logs to monitor what ePHI is being accessed by business associates will inform the need to enforce compliance or terminate contracts with the business associate. ",1,,Required,"HIPAA: §164.308(b)(1)  
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,We assume that all business associate access is equal with regard to determining risk.,"Take an active role in protecting your ePHI. Determine the degree of access a business associate has by reviewing the amount of ePHI accessed, the types of devices and mechanisms used for access, and your ability to control and monitor their access. Document your procedures in your security policies. Implement access management procedures to track and monitor user access to computers and programs. Frequently viewing audit, system, and other logs to monitor what ePHI is being accessed by business associates will inform the need to enforce compliance or terminate contracts with the business associate. ",0,,Required,"HIPAA: §164.308(b)(1)  
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,We do not consider degree of access as it pertains to business associates.,"Take an active role in protecting your ePHI. Determine the degree of access a business associate has by reviewing the amount of ePHI accessed, the types of devices and mechanisms used for access, and your ability to control and monitor their access. Document your procedures in your security policies. Implement access management procedures to track and monitor user access to computers and programs. Frequently viewing audit, system, and other logs to monitor what ePHI is being accessed by business associates will inform the need to enforce compliance or terminate contracts with the business associate. ",0,,Required,"HIPAA: §164.308(b)(1)  
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report.",0,,Required,"HIPAA: §164.308(b)(1)  
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
5,"How do business associates communicate important changes in security practices, personnel, etc. to you?",,,,,,,
,,,Our BAAs include language describing how security-relevant changes should be communicated to our organization.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
,,,We rely on our business associates to communicate with us in a manner they deem effective.,Be sure to include or incorporate language in Business Associate Agreements describing their communication of relevant security changes to your practice.,0,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
,,,We are not sure how our business associates manage security or communicate changes to our practice.,Be sure to include or incorporate language in Business Associate Agreements describing their communication of relevant security changes to your practice.,0,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
