Section 5 - Security and the Practice,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,Notes,,,,,,,
4,"Do you manage workforce member, visitor, and third-party access to electronic devices?",,,,,,,
,,,"Yes. We have written procedures for classifying electronic devices, based on their capabilities, connection, and allowable activities, and documentation of such classifications as applied to our electronic devices; access to electronic devices by workforce members, visitors, and/or third parties is determined based on their classification.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",1,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, PR.PS 
HPH CPG: 10, 6 
HICP: TV1 - Practice #4, 6"
,,,"Yes. We have written procedures for access to electronic devices, but not detailing all of the variables listed above.","With regard to workstation-use and physical security, implement policies and procedures that define how electronic devices are used to access ePHI. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",0,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, PR.PS 
HPH CPG: 10, 6 
HICP: TV1 - Practice #4, 6"
,,,"Yes. We verbally instruct users on access to electronic devices, but do not have written procedures.","With regard to workstation-use and physical security, implement policies and procedures that define how electronic devices are used to access ePHI. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",0,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, PR.PS 
HPH CPG: 10, 6 
HICP: TV1 - Practice #4, 6"
,,,"No. We do not have a process for managing workforce member, visitor, or third-party access to electronic devices.","With regard to workstation-use and physical security, implement policies and procedures that define how electronic devices are used to access ePHI. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",0,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, PR.PS 
HPH CPG: 10, 6 
HICP: TV1 - Practice #4, 6"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, PR.PS 
HPH CPG: 10, 6 
HICP: TV1 - Practice #4, 6"
,Notes,,,,,,,
5,"Do you have physical protections in place, such as cable locks for portable laptops, screen filters for screens visible in high traffic areas, to manage electronic device security risks?",,,,,,,
,,,"Yes, we have physical protections in place for all electronic devices. Protections are described in policies and procedures and in documentation assessing the specific protections in place.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Examples include installation of anti-theft cables, locks on rooms where the devices are located, screen protectors or dividers, and the use of badge readers to monitor access to rooms where devices are located. Document these safeguards in your policies and procedures. A small organization's endpoints must be protected. Endpoints include desktops, laptops, mobile devices, and other connected hardware devices (e.g., printers, medical equipment).",1,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 6"
,,,"Yes. We have some physical protections in place for some, but not all, electronic devices. ","Implement physical safeguards for all electronic devices that access electronic protected health information, to restrict access to authorized users. Examples include installation of anti-theft cables, locks on rooms where the devices are located, screen protectors or dividers, and the use of badge readers to monitor access to rooms where devices are located. Document these safeguards in your policies and procedures. A small organization's endpoints must be protected. Endpoints include desktops, laptops, mobile devices, and other connected hardware devices (e.g., printers, medical equipment).",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 6"
